Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1191,YJEFN3,Cluster 4371,1,Component 427,0,0,1,0
1192,DCTD,Cluster 97,11,Component 2,5,0,1,5
1193,SLC2A13,Cluster 4370,1,Component 428,0,0,1,0
1194,DLG5,Cluster 4369,1,Component 429,0,0,1,0
1195,ABCG8,Cluster 1371,2,Component 430,1,0,1,1
1196,CRYBB3,Cluster 1370,2,Component 2,1,0,1,1
1197,TTPA,Cluster 4368,1,Component 431,0,0,1,0
1198,COX4I1,Cluster 29,25,Component 2,16,0,1,16
1199,SLC22A5,Cluster 4367,1,Component 432,0,0,1,0
1200,SCG3,Cluster 103,11,Component 2,5,0,1,5
1201,ZNF148,Cluster 4366,1,Component 2,16,3,1,13
1202,GCHFR,Cluster 1369,2,Component 2,1,0,1,1
1203,MYCL,Cluster 318,5,Component 2,1,0,1,1
1204,PDCD6,Cluster 112,10,Component 2,9,1,1,8
1205,MATN3,Cluster 59,16,Component 2,2,0,1,2
1206,VCP,Cluster 28,26,Component 2,26,5,1,21
1207,CRLF1,Cluster 1368,2,Component 433,1,0,1,1
1208,ADRA1B,Cluster 4365,1,Component 434,0,0,1,0
1209,MAP3K5,Cluster 1425,2,Component 2,8,1,1,7
1210,MAPK8IP1,Cluster 477,4,Component 2,2,0,1,2
1211,SPTBN5,Cluster 4364,1,Component 435,0,0,1,0
1212,TRAM1L1,Cluster 4363,1,Component 436,0,0,1,0
1213,NFIL3,Cluster 7,39,Component 2,14,1,1,13
1214,PVRIG,Cluster 2,70,Component 2,27,4,1,23
1215,ONECUT3,Cluster 4362,1,Component 437,0,0,1,0
1216,CLNS1A,Cluster 58,16,Component 2,12,0,1,12
1217,FSCN3,Cluster 1367,2,Component 438,1,0,1,1
1218,IPPK,Cluster 119,10,Component 2,1,0,1,1
1219,RAB40B,Cluster 42,21,Component 2,2,0,1,2
1220,CENPW,Cluster 792,3,Component 2,8,1,1,7
1221,ARHGEF3,Cluster 4361,1,Component 439,0,0,1,0
1222,SUFU,Cluster 233,6,Component 2,4,0,1,4
1223,ITGB7,Cluster 4360,1,Component 2,10,1,1,9
1224,RUNX1T1,Cluster 122,10,Component 2,2,0,1,2
1225,CFAP57,Cluster 4359,1,Component 440,0,0,1,0
1226,CBLL2,Cluster 41,21,Component 2,1,0,1,1
1227,TMPRSS11BNL,Cluster 4358,1,Component 441,0,0,1,0
1228,SOX11,Cluster 4357,1,Component 442,0,0,1,0
